,design_dry_bulb,cost_of_coolers,expected_loss,incremental_gain,cumulative_gain,incremental_cost,cumulative_cost,cumulative_gain_usd,payback
0,90.0,3750000.0,-59.201712834150385,0.0,0.0,0.0,0.0,0.0,
1,91.0,4000000.0,-55.945689006164,3.2560238279863825,3.2560238279863825,250000.0,250000.0,78144.57187167318,3.1991985369187637
2,92.0,4100000.0,-48.173347907783864,7.772341098380139,11.028364926366521,100000.0,350000.0,264680.7582327965,1.3223477306656424
3,93.0,4200000.0,-41.49382886313424,6.6795190446496235,17.707883971016145,100000.0,450000.0,424989.2153043875,1.0588503985394058
4,94.0,4250000.0,-38.45624041244696,3.037588450687281,20.745472421703425,50000.0,500000.0,497891.3381208822,1.0042351849041524
5,95.0,4425000.0,-32.80863603963235,5.647604372814612,26.393076794518038,175000.0,675000.0,633433.8430684329,1.0656203601787606
6,96.0,4700000.0,-29.28349526222746,3.5251407774048857,29.918217571922924,275000.0,950000.0,718037.2217261501,1.3230511890681864
7,97.0,4825000.0,-25.400032557812438,3.883462704415024,33.80168027633795,125000.0,1075000.0,811240.3266321108,1.3251313633074624
8,98.0,5050000.0,-21.06344410124825,4.336588456564186,38.138268732902134,225000.0,1300000.0,915318.4495896512,1.4202707271800392
9,99.0,5575000.0,-17.145140651199426,3.9183034500488247,42.05657218295096,525000.0,1825000.0,1009357.732390823,1.8080804668501422
10,100.0,5900000.0,-14.70858489593138,2.4365557552680457,44.493127938219004,325000.0,2150000.0,1067835.0705172562,2.0134195432994595
11,101.0,6700000.0,-12.756190031205279,1.9523948647261022,46.445522802945106,800000.0,2950000.0,1114692.5472706826,2.6464696540970474
12,102.0,7450000.0,-10.404270232253793,2.351919798951485,48.79744260189659,750000.0,3700000.0,1171138.6224455182,3.1593185717620935
